date,article_id,article_prefix,article_category,service_type,issue_text,issue_type
2026-04-22,CX022442115IN,CX,COD (C),COD Parcel,Marked delivered but not received,Missing Item
2026-04-22,MP195666001IN,MP,Other (M),Speed Post,Parcel stuck with no updates,Delivery Delay
2026-04-21,CR451857031IN,CR,COD (C),COD Parcel,Marked missent unsuccessful delivery,Fake Delivery Attempt
2026-04-21,EO839790774IN,EO,Speed Post (E),Speed Post,Parcel delayed and marked missent without update,Delivery Delay
2026-04-21,CT468062636IN,CT,COD (C),COD Parcel,Parcel on hold for long time and not delivered,Delivery Delay
2026-04-21,EY093271065IN,EY,Speed Post (E),Speed Post,Marked door locked without delivery attempt,Fake Delivery Attempt
2026-04-21,JA461709559IN,JA,Bulk Speed Post (J),Speed Post,Marked insufficient address without attempt,Fake Delivery Attempt
2026-04-21,EN270001096IN,EN,Speed Post (E),Speed Post,Marked delivered but not received,Missing Item
2026-04-21,CX021932444IN,CX,COD (C),COD Parcel,Dispatched but no delivery updates,Delivery Delay
2026-04-21,EM913194313IN,EM,Speed Post (E),Speed Post,Marked delivered but not received,Missing Item
2026-04-21,UC529425393IN,UC,Registered Parcel (U),Speed Post,Marked delivered but not actually delivered,Fake Delivery Attempt
2026-04-20,JL164842633IN,JL,Bulk Speed Post (J),Speed Post,Voter ID delivered to wrong address multiple times,Wrong Delivery
2026-04-20,EN489929740IN,EN,Speed Post (E),Speed Post,International EMS stuck for 12 days,Delivery Delay
2026-04-20,RD849415654IN,RD,Registered (R),Registered Letter,Tracking shows invalid article number,Tracking Issue
2026-04-20,JN379222035IN,JN,Bulk Speed Post (J),Speed Post,Marked delivered but not received,Missing Item
2026-04-20,UC530203155IN,UC,Registered Parcel (U),Speed Post,Marked delivered but not received,Missing Item
2026-04-20,EW568449365IN,EW,Speed Post (E),Speed Post,Out for delivery but returned without attempt,Fake Delivery Attempt
2026-04-20,EU260428049IN,EU,Speed Post (E),Speed Post,Marked delivered but not actually delivered,Fake Delivery Attempt
2026-04-20,EG208679598IN,EG,Speed Post (E),Speed Post,Marked delivered but not received,Missing Item
2026-04-20,CB155154106IN,CB,COD (C),COD Parcel,Foreign article not delivered for 2 months,Delivery Delay
2026-04-20,JC840121542IN,JC,Bulk Speed Post (J),Speed Post,Marked missent unsuccessful delivery repeatedly,Fake Delivery Attempt
2026-04-20,EJ622098983IN,EJ,Speed Post (E),Speed Post,Speed post not moving and delayed,Delivery Delay
2026-04-19,EM914785515IN,EM,Speed Post (E),Speed Post,Wrong PIN code entered during booking,Wrong Delivery
2026-04-19,EC482822284IN,EC,Speed Post (E),Speed Post,Tracking shows item details not found,Tracking Issue
2026-04-19,JN179636964IN,JN,Bulk Speed Post (J),Speed Post,Marked delivered but not received,Missing Item
2026-04-18,EU965454297IN,EU,Speed Post (E),Speed Post,RTI delivery dispute and authenticity issue,Service Issue
2026-04-18,EU204599815IN,EU,Speed Post (E),Speed Post,RTI delivery dispute and authenticity issue,Service Issue
2026-04-18,AW796244346IN,AW,Air Mail (A),Ack. Regd. Article,Marked door locked without delivery attempt,Fake Delivery Attempt
2026-04-18,JJ894264796IN,JJ,Bulk Speed Post (J),Speed Post,Marked missent without delivery attempt,Fake Delivery Attempt
2026-04-18,CL525480584IN,CL,COD (C),COD Parcel,Parcel not delivered after long delay,Delivery Delay
2026-04-18,CY162680924IN,CY,COD (C),COD Parcel,Marked delivered but not received,Missing Item
2026-04-18,CM455836261IN,CM,COD (C),COD Parcel,Parcel stuck in routing loop,Delivery Delay
2026-04-18,CX019805901IN,CX,COD (C),COD Parcel,Returned with false door closed reason,Fake Delivery Attempt
2026-04-18,EY079959946IN,EY,Speed Post (E),Speed Post,Speed post delayed beyond expected time,Delivery Delay
2026-04-17,EU878265617IN,EU,Speed Post (E),Speed Post,Marked delivered but not received,Missing Item
2026-04-17,EY081517115IN,EY,Speed Post (E),Speed Post,Marked wrong address without attempt,Fake Delivery Attempt
2026-04-17,ER104927708IN,ER,Speed Post (E),Speed Post,Parcel stuck for long time without updates,Delivery Delay
2026-04-17,CX021600345IN,CX,COD (C),COD Parcel,Parcel stuck in transit with no updates,Delivery Delay
2026-04-17,EN427579880IN,EN,Speed Post (E),Speed Post,Speed post not delivered and no updates,Delivery Delay
2026-04-17,CI129674995IN,CI,COD (C),COD Parcel,Marked missent and redirected to wrong office,Delivery Delay
2026-04-17,ES009752679IN,ES,Speed Post (E),Speed Post,Parcel not delivered after 25+ days,Delivery Delay
2026-04-17,JN095936275IN,JN,Bulk Speed Post (J),Speed Post,Out for delivery but no proper coordination,Service Issue
2026-04-17,PP584538722IN,PP,Parcel (P),Speed Post,Marked missent and no response from office,Fake Delivery Attempt
2026-04-17,LP125385622AU,LP,International (L),International Article,Parcel stuck in customs/delay,Delivery Delay
2026-04-17,EG007227830IN,EG,Speed Post (E),Speed Post,Parcel stuck for multiple days,Delivery Delay
2026-04-16,EF865433909IN,EF,Speed Post (E),Speed Post,Marked delivered but not received,Missing Item
2026-04-16,EP262652736IN,EP,Speed Post (E),Speed Post,Parcel lost in transit,Missing Item
2026-04-16,RU511868325IN,RU,Registered (R),Registered Letter,Parcel on hold with no updates,Delivery Delay
2026-04-16,AV587339592IN,AV,Air Mail (A),Ack. Regd. Article,Repeated missent delivery attempts,Fake Delivery Attempt
2026-04-16,AV607429161IN,AV,Air Mail (A),Ack. Regd. Article,Repeated missent delivery attempts,Fake Delivery Attempt
2026-04-15,CU280545818IN,CU,COD (C),COD Parcel,Marked door locked without attempt,Fake Delivery Attempt
2026-04-15,UI718116286IN,UI,Registered Parcel (U),Speed Post,Delivery not completed and unclear reason,Service Issue
2026-04-15,UI718348489IN,UI,Registered Parcel (U),Speed Post,Marked delivered but not received,Missing Item
2026-04-15,JA015628931IN,JA,Bulk Speed Post (J),Speed Post,Parcel not delivered for long time,Delivery Delay
2026-04-15,EG208891771IN,EG,Speed Post (E),Speed Post,Marked delivered but not received,Missing Item
2026-04-15,JI111029008IN,JI,Bulk Speed Post (J),Speed Post,Marked delivered months ago but not received,Missing Item
2026-04-15,CX021778612IN,CX,COD (C),COD Parcel,Delivery failed due to missent affecting exam preparation,Delivery Delay
2026-04-15,,,Unknown,Speed Post,Parcel received in torn condition and missing items,Damage/Loss
2026-04-14,UC529393404IN,UC,Registered Parcel (U),Speed Post,Marked door locked without delivery attempt,Fake Delivery Attempt
2026-04-14,EW354704054IN,EW,Speed Post (E),Speed Post,Speed post stuck for 3 days,Delivery Delay
2026-04-14,EE485588285IN,EE,Speed Post (E),Speed Post,Parcel stuck for 9 days without update,Delivery Delay
2026-04-14,,,Unknown,Speed Post,Passport stuck and not moving,Delivery Delay
2026-04-13,ST237369806IN,ST,Other (S),Speed Post,Marked delivered but not received,Missing Item
2026-04-13,EV587092196IN,EV,Speed Post (E),Speed Post,Delay with false door locked update,Fake Delivery Attempt
2026-04-13,ER481796115IN,ER,Speed Post (E),Speed Post,Speed post not delivered with no updates,Delivery Delay
2026-04-13,EJ385931949IN,EJ,Speed Post (E),Speed Post,Parcel roaming with no updates,Delivery Delay
2026-04-13,PP735882353IN,PP,Parcel (P),Speed Post,Marked missent without delivery attempt,Fake Delivery Attempt
2026-04-12,EU328122325IN,EU,Speed Post (E),Speed Post,Marked missent without delivery attempt,Fake Delivery Attempt
2026-04-12,EB055702414IN,EB,Speed Post (E),Speed Post,Parcel not delivered and causing financial loss,Delivery Delay
2026-04-11,EW409906376IN,EW,Speed Post (E),Speed Post,Parcel missing after fake delivery update,Missing Item
2026-04-11,ST237886694IN,ST,Other (S),Speed Post,Marked delivered but not received,Missing Item
2026-04-11,EJ347822078IN,EJ,Speed Post (E),Speed Post,Speed post not updated and delayed,Delivery Delay
2026-04-11,EU328122325IN,EU,Speed Post (E),Speed Post,Marked missent without delivery attempt,Fake Delivery Attempt
2026-04-11,ST239909089IN,ST,Other (S),Speed Post,Out for delivery but no delivery attempt,Service Issue
2026-04-11,EG652069345IN,EG,Speed Post (E),Speed Post,Marked addressee absent without attempt,Fake Delivery Attempt
2026-04-10,CW214913666IN,CW,COD (C),COD Parcel,Marked delivered but not received,Missing Item
2026-04-10,JA024761752IN,JA,Bulk Speed Post (J),Speed Post,Marked delivered without OTP/call/signature,Fake Delivery Attempt
2026-04-10,JL069039876IN,JL,Bulk Speed Post (J),Speed Post,Marked delivered without OTP/call/signature,Fake Delivery Attempt
2026-04-10,EZ721699445IN,EZ,Speed Post (E),Speed Post,Marked door locked without delivery attempt,Fake Delivery Attempt
2026-04-10,CT219711793IN,CT,COD (C),COD Parcel,Parcel not delivered despite complaint,Delivery Delay
2026-04-10,EC411079736IN,EC,Speed Post (E),Speed Post,Returned despite complaint raised,Service Issue
2026-04-10,EE942086982IN,EE,Speed Post (E),Speed Post,Speed post not dispatched and no tracking update,Tracking Issue
2026-04-10,JI579364520IN,JI,Bulk Speed Post (J),Speed Post,Marked missent repeatedly,Fake Delivery Attempt
2026-04-09,JH023801340IN,JH,Bulk Speed Post (J),Speed Post,Delivered but items missing inside parcel,Damage/Loss
2026-04-09,TA801324132IN,TA,Other (T),Speed Post,Marked undelivered without attempt,Fake Delivery Attempt
2026-04-09,HQ052345452IN,HQ,Other (H),Speed Post,Repeated addressee absent updates without attempt,Fake Delivery Attempt
2026-04-09,UI717447012IN,UI,Registered Parcel (U),Speed Post,Marked delivered but not received,Missing Item
2026-04-09,EE804104657IN,EE,Speed Post (E),Speed Post,Parcel on hold not delivered urgently,Delivery Delay
2026-04-09,CY182699037IN,CY,COD (C),COD Parcel,Marked delivered but not received,Missing Item
2026-04-09,JN091391286IN,JN,Bulk Speed Post (J),Speed Post,PAN card not delivered and no tracking update,Delivery Delay
2026-04-09,LB482840155US,LB,International (L),International Article,Parcel stuck at customs for long time,Delivery Delay
2026-04-09,EG226059454IN,EG,Speed Post (E),Speed Post,Registered post not delivered before deadline,Delivery Delay
2026-04-09,JA022084682IN,JA,Bulk Speed Post (J),Speed Post,Important document not delivered,Delivery Delay
2026-04-09,UC527849341IN,UC,Registered Parcel (U),Speed Post,Delivered but poor service experience,Service Issue
2026-04-09,PT112907492IN,PT,Parcel (P),Speed Post,Marked delivered but not received PAN card,Missing Item
2026-04-07,EP784836369IN,EP,Speed Post (E),Speed Post,Marked addressee absent without attempt,Fake Delivery Attempt
2026-04-07,UC50194301IN,UC,Registered Parcel (U),Speed Post,Tracking shows no article found,Tracking Issue
2026-04-07,ST134789404IN,ST,Other (S),Speed Post,Marked delivered but not received,Missing Item
2026-04-07,EM886712651IN,EM,Speed Post (E),Speed Post,Parcel returned with false delivery status,Delivery Delay
2026-04-07,JN338137267IN,JN,Bulk Speed Post (J),Speed Post,Marked delivered but not received,Missing Item
2026-04-07,JG491571638IN,JG,Bulk Speed Post (J),Speed Post,Marked delivered but not received,Missing Item
2026-04-07,JG489069467IN,JG,Bulk Speed Post (J),Speed Post,Speed post delayed and not dispatched on time,Delivery Delay
2026-04-07,ST234796221IN,ST,Other (S),Speed Post,Marked missent without delivery attempt,Fake Delivery Attempt
2026-04-07,CO133312370IN,CO,COD (C),COD Parcel,Parcel delivered in damaged condition with missing items,Damage/Loss
2026-04-06,CA728403220IN,CA,COD (C),COD Parcel,Parcel stuck at same location for long time,Delivery Delay
2026-04-06,CA728402975IN,CA,COD (C),COD Parcel,Parcel stuck at same location for long time,Delivery Delay
2026-04-06,PT179853218IN,PT,Parcel (P),Speed Post,Marked delivered but not received,Missing Item
2026-04-06,ED322835844IN,ED,Speed Post (E),Speed Post,Parcel not delivered despite short distance,Delivery Delay
2026-04-06,JA021451632IN,JA,Bulk Speed Post (J),Speed Post,Parcel returned/delayed without delivery attempt,Fake Delivery Attempt
2026-04-06,ED895103129IN,ED,Speed Post (E),Speed Post,Marked missent repeatedly,Fake Delivery Attempt
2026-04-06,AQ019034346IN,AQ,Air Mail (A),Ack. Regd. Article,Marked delivered but not received debit card,Missing Item
2026-04-06,EP868732663IN,EP,Speed Post (E),Speed Post,Speed post delayed and mishandled,Delivery Delay
2026-04-06,RY009705991IN,RY,Registered (R),Registered Letter,Parcel not delivered and unclear status,Delivery Delay
2026-04-06,EU887044477IN,EU,Speed Post (E),Speed Post,Speed post not delivered after 7 days,Delivery Delay
2026-04-06,EU887044463IN,EU,Speed Post (E),Speed Post,Speed post not delivered after 7 days,Delivery Delay
2026-04-06,EU887044450IN,EU,Speed Post (E),Speed Post,Speed post not delivered after 7 days,Delivery Delay
2026-04-06,CD910126504IN,CD,COD (C),COD Parcel,Parcel stuck with no update after complaint,Tracking Issue
2026-04-06,ED274697385IN,ED,Speed Post (E),Speed Post,Speed post letter not found,Tracking Issue
2026-04-05,JG685816408IN,JG,Bulk Speed Post (J),Speed Post,Out for delivery but not received,Delivery Delay
2026-04-05,EI864836645IN,EI,Speed Post (E),Speed Post,False delivery status and delayed document,Fake Delivery Attempt
2026-04-05,JA007436974IN,JA,Bulk Speed Post (J),Speed Post,Returned to sender without delivery attempt,Fake Delivery Attempt
2026-04-04,EF748592774IN,EF,Speed Post (E),Speed Post,Marked delivered but not received,Missing Item
2026-04-04,EF762310995IN,EF,Speed Post (E),Speed Post,No tracking update after booking,Tracking Issue
2026-04-04,BX718760173IN,BX,Other (B),Speed Post,Unsuccessful delivery unclear reason,Service Issue
2026-04-04,CP378447386IN,CP,COD (C),COD Parcel,Marked addressee absent without attempt,Fake Delivery Attempt
2026-04-04,EP001518763IN,EP,Speed Post (E),Speed Post,Parcel stuck at booking location,Delivery Delay
2026-04-04,ST136351165IN,ST,Other (S),Speed Post,Marked delivered but not received,Missing Item
2026-04-03,UC526721012IN,UC,Registered Parcel (U),Speed Post,Marked delivered but not received,Missing Item
2026-04-03,CH126791975IN,CH,COD (C),COD Parcel,Parcel not delivered after booking,Delivery Delay
2026-04-03,TA690879595IN,TA,Other (T),Speed Post,Delivery not attempted despite availability,Fake Delivery Attempt
2026-04-03,CD910126504IN,CD,COD (C),COD Parcel,Parcel stuck at same location for days,Tracking Issue
2026-04-02,ET547598483IN,ET,Speed Post (E),Speed Post,False door locked delivery attempt,Fake Delivery Attempt
2026-04-02,UC527388358IN,UC,Registered Parcel (U),Speed Post,Marked delivered but not received,Missing Item
2026-04-02,EE706073583IN,EE,Speed Post (E),Speed Post,Marked missent without delivery attempt,Fake Delivery Attempt
2026-04-02,EM435806521IN,EM,Speed Post (E),Speed Post,Speed post delayed beyond due date,Delivery Delay
2026-04-02,UC526523175IN,UC,Registered Parcel (U),Speed Post,Delivered but verification unclear,Service Issue
2026-04-02,EN793100158IN,EN,Speed Post (E),Speed Post,Delivered but verification unclear,Service Issue
2026-04-02,PN9085011264226,PN,Parcel (P),Speed Post,File dispatch delayed without update,Delivery Delay
2026-04-01,EU090064435IN,EU,Speed Post (E),Speed Post,Marked delivered but not received,Missing Item
2026-04-01,JM882109468IN,JM,Bulk Speed Post (J),Speed Post,Parcel stuck at nearby location,Delivery Delay
2026-04-01,CK578926008IN,CK,COD (C),COD Parcel,Parcel delayed in transit,Delivery Delay
2026-04-01,EK877429645IN,EK,Speed Post (E),Speed Post,Marked delivered but not received,Missing Item
2026-04-01,PT176735217IN,PT,Parcel (P),Speed Post,Marked missent without delivery,Fake Delivery Attempt
2026-04-01,PT175093794IN,PT,Parcel (P),Speed Post,Marked delivered but not received,Missing Item
2026-04-01,ED326439132IN,ED,Speed Post (E),Speed Post,Marked door locked falsely,Fake Delivery Attempt
2026-04-01,EY066700842IN,EY,Speed Post (E),Speed Post,Speed post delayed for long time,Delivery Delay
2026-03-31,CX014460041IN,CX,COD (C),COD Parcel,No update for long time after booking,Tracking Issue
2026-03-31,EG557313092IN,EG,Speed Post (E),Speed Post,Marked delivered but not received,Missing Item
2026-03-31,JM881426141IN,JM,Bulk Speed Post (J),Speed Post,Marked delivered but not received,Missing Item
2026-03-31,EY071144405IN,EY,Speed Post (E),Speed Post,Speed post delayed in transit,Delivery Delay
2026-03-31,JG686283285IN,JG,Bulk Speed Post (J),Speed Post,Booking message confusion,Service Issue
2026-03-30,EF741050779IN,EF,Speed Post (E),Speed Post,Marked delivered but not received,Missing Item
2026-03-30,EU887751033IN,EU,Speed Post (E),Speed Post,Marked delivered but not received,Missing Item
2026-03-30,EE706073583IN,EE,Speed Post (E),Speed Post,Marked missent repeatedly,Fake Delivery Attempt
2026-03-29,EF752566373IN,EF,Speed Post (E),Speed Post,Speed post not delivered within promised time,Delivery Delay
2026-03-29,EF752566387IN,EF,Speed Post (E),Speed Post,Speed post not delivered within promised time,Delivery Delay
2026-03-29,RU517290098IN,RU,Registered (R),Registered Letter,Parcel reached destination but not delivered,Delivery Delay
2026-03-29,EE802029848IN,EE,Speed Post (E),Speed Post,Postman refused delivery and asked pickup,Service Issue
2026-03-29,EU803057947IN,EU,Speed Post (E),Speed Post,Parcel not delivered urgent request,Delivery Delay
2026-03-28,JN852270795IN,JN,Bulk Speed Post (J),Speed Post,Marked delivered but not received,Missing Item
2026-03-28,CX018004657IN,CX,COD (C),COD Parcel,Parcel delivered damaged,Damage/Loss
2026-03-28,ST222078665IN,ST,Other (S),Speed Post,False delivered status without receipt,Fake Delivery Attempt
2026-03-28,PT174235363IN,PT,Parcel (P),Speed Post,Marked delivered but not received,Missing Item
2026-03-28,RB222423899IN,RB,Registered (R),Registered Letter,Delivery boy refused doorstep delivery,Service Issue
2026-03-28,ST232079740IN,ST,Other (S),Speed Post,Door locked update without attempt,Fake Delivery Attempt
2026-03-28,JA934559439IN,JA,Bulk Speed Post (J),Speed Post,Marked delivered but not received,Missing Item
2026-03-28,CM179794571IN,CM,COD (C),COD Parcel,Tracking not available after booking,Tracking Issue
2026-03-28,EU509007628IN,EU,Speed Post (E),Speed Post,Marked missent without attempt,Fake Delivery Attempt
2026-03-28,QH016425997IN,QH,Other (Q),Speed Post,Tracking shared but no update,Tracking Issue
2026-03-28,JH023565629IN,JH,Bulk Speed Post (J),Speed Post,Shipment cancelled after pickup,Service Issue
2026-03-28,EU805721443IN,EU,Speed Post (E),Speed Post,Parcel stuck after airport dispatch,Delivery Delay
2026-03-28,CP159523481IN,CP,COD (C),COD Parcel,Partial delivery items missing,Damage/Loss
2026-03-27,JA934559439IN,JA,Bulk Speed Post (J),Speed Post,Marked delivered but not received,Missing Item
2026-03-27,JI50787523IN,JI,Bulk Speed Post (J),Speed Post,Marked delivered but not received,Missing Item
2026-03-27,EI350202865IN,EI,Speed Post (E),Speed Post,Missent to wrong PIN code,Fake Delivery Attempt
2026-03-27,PT171238255IN,PT,Parcel (P),Speed Post,PAN card delivered but not received,Missing Item
2026-03-27,PP107396677IN,PP,Parcel (P),Speed Post,Repeated missent issue,Fake Delivery Attempt
2026-03-27,LR529251499NL,LR,International (L),International Article,Parcel stuck at customs,Delivery Delay
2026-03-27,EK684387835IN,EK,Speed Post (E),Speed Post,Article booked but no delivery update,Tracking Issue
2026-03-26,AX988262913IN,AX,Air Mail (A),Ack. Regd. Article,Tracking number not found possible scam,Tracking Issue
2026-03-26,JI050787523IN,JI,Bulk Speed Post (J),Speed Post,Marked delivered but not received,Missing Item
2026-03-26,CX018120406IN,CX,COD (C),COD Parcel,Parcel torn and items missing,Damage/Loss
2026-03-26,CR453514547IN,CR,COD (C),COD Parcel,Parcel delivered successfully after resolution,Other
2026-03-26,JA055019338IN,JA,Bulk Speed Post (J),Speed Post,Marked delivered but not received,Missing Item
2026-03-26,EU096503982IN,EU,Speed Post (E),Speed Post,Speed post not delivered complaint raised,Delivery Delay
2026-03-26,EF806359155IN,EF,Speed Post (E),Speed Post,Marked delivered but not received,Missing Item
2026-03-26,PT057261621IN,PT,Parcel (P),Speed Post,Parcel not delivered yet,Delivery Delay
2026-03-25,CH131565875IN,CH,COD (C),COD Parcel,Returned to sender without delivery attempt,Fake Delivery Attempt
2026-03-25,EF764626600IN,EF,Speed Post (E),Speed Post,Marked delivered but not received,Missing Item
2026-03-25,ES936297007IN,ES,Speed Post (E),Speed Post,Parcel reached empty theft in transit,Damage/Loss
2026-03-25,EU795530402IN,EU,Speed Post (E),Speed Post,Parcel stuck at same location,Delivery Delay
2026-03-25,EF632013611IN,EF,Speed Post (E),Speed Post,Marked delivered but not received,Missing Item
2026-03-25,EU802373435IN,EU,Speed Post (E),Speed Post,Marked delivered but not received,Missing Item
2026-03-25,JI910878000IN,JI,Bulk Speed Post (J),Speed Post,Parcel not delivered after 1 month delay,Delivery Delay
2026-03-25,ED594010294IN,ED,Speed Post (E),Speed Post,No tracking update after booking,Tracking Issue
2026-03-25,ST222078665IN,ST,Other (S),Speed Post,Marked delivered but not received false update,Fake Delivery Attempt
2026-03-25,JQ040079247IN,JQ,Bulk Speed Post (J),Speed Post,Repeated missent tracking messages,Fake Delivery Attempt
2026-03-25,CY193910914IN,CY,COD (C),COD Parcel,Tracking issue reported by customer,Tracking Issue
2026-03-25,EE802029848IN,EE,Speed Post (E),Speed Post,Postman refused delivery forced pickup,Service Issue
2026-03-25,EE802867197IN,EE,Speed Post (E),Speed Post,Parcel returned empty after tampering,Damage/Loss
2026-03-24,CI139346646IN,CI,COD (C),COD Parcel,Marked delivered but not received,Missing Item
2026-03-24,EW324127636IN,EW,Speed Post (E),Speed Post,Speed post delayed urgent documents,Delivery Delay
2026-03-24,CE089021640IN,CE,COD (C),COD Parcel,International parcel stuck for 67 days,Delivery Delay
2026-03-24,PT171243785IN,PT,Parcel (P),Speed Post,Marked delivered but not received no response,Missing Item
2026-03-24,PT106371413IN,PT,Parcel (P),Speed Post,Status contact to BO but no record at office,Tracking Issue
2026-03-24,AV781112692IN,AV,Air Mail (A),Ack. Regd. Article,Marked addressee absent without attempt,Fake Delivery Attempt
2026-03-24,AW794311431IN,AW,Air Mail (A),Ack. Regd. Article,Article booked but customer did not order,Service Issue
2026-03-24,PT041637548IN,PT,Parcel (P),Speed Post,Article not received since long time,Delivery Delay
2026-03-24,EF758544186IN,EF,Speed Post (E),Speed Post,Pending delivery after reaching NSH,Delivery Delay
2026-03-24,RY009616789IN,RY,Registered (R),Registered Letter,Parcel reached but not delivered,Delivery Delay
2026-03-24,JL066504922IN,JL,Bulk Speed Post (J),Speed Post,Tracking not updated for many days,Tracking Issue
2026-03-24,ST232870009IN,ST,Other (S),Speed Post,No tracking status available,Tracking Issue
2026-03-24,CL593212220IN,CL,COD (C),COD Parcel,Shipment not delivered and no updates,Delivery Delay
2026-03-24,LP635858073GB,LP,International (L),International Article,Parcel stuck at customs,Delivery Delay
2026-03-23,JD090431324IN,JD,Bulk Speed Post (J),Speed Post,Parcel stuck for 6 days,Delivery Delay
2026-03-23,JG568457407IN,JG,Bulk Speed Post (J),Speed Post,Speed post not delivered after multiple complaints,Delivery Delay
2026-03-23,CT304840180IN,CT,COD (C),COD Parcel,Tracking not updated since dispatch,Tracking Issue
2026-03-23,EF447374885IN,EF,Speed Post (E),Speed Post,Marked addressee absent without attempt,Fake Delivery Attempt
2026-03-23,EH229880880IN,EH,Speed Post (E),Speed Post,Repeated out for delivery but not delivered,Delivery Delay
2026-03-23,ED326707823IN,ED,Speed Post (E),Speed Post,Out for delivery but not delivered,Delivery Delay
2026-03-23,CR355625066IN,CR,COD (C),COD Parcel,Parcel not delivered after booking,Delivery Delay
2026-03-23,EO681669369IN,EO,Speed Post (E),Speed Post,Speed post not delivered after many days,Delivery Delay
2026-03-23,EY066799294IN,EY,Speed Post (E),Speed Post,Speed post delayed after booking,Delivery Delay
2026-03-23,EY066799303IN,EY,Speed Post (E),Speed Post,Speed post delayed after booking,Delivery Delay
2026-03-23,EU864724383IN,EU,Speed Post (E),Speed Post,Speed post delayed refund requested,Delivery Delay
2026-03-23,PT171243785IN,PT,Parcel (P),Speed Post,Marked delivered but not received no response,Missing Item
2026-03-23,PT106371413IN,PT,Parcel (P),Speed Post,Status shows contact to BO but not available,Tracking Issue
2026-03-23,AV781112692IN,AV,Air Mail (A),Ack. Regd. Article,Marked addressee absent without attempt,Fake Delivery Attempt
2026-03-23,AW794311431IN,AW,Air Mail (A),Ack. Regd. Article,Article booked but customer did not order,Service Issue
2026-03-23,PT041637548IN,PT,Parcel (P),Speed Post,Article not delivered since long time,Delivery Delay
2026-03-23,EF758544186IN,EF,Speed Post (E),Speed Post,Pending delivery after reaching NSH,Delivery Delay
2026-03-23,RY009616789IN,RY,Registered (R),Registered Letter,Parcel reached but not delivered,Delivery Delay
2026-03-23,JL066504922IN,JL,Bulk Speed Post (J),Speed Post,Tracking not updated since long time,Tracking Issue
2026-03-23,ST232870009IN,ST,Other (S),Speed Post,No tracking update available,Tracking Issue
2026-03-23,CL593212220IN,CL,COD (C),COD Parcel,Shipment not delivered no update,Delivery Delay
2026-03-23,LP635858073GB,LP,International (L),International Article,Parcel stuck at customs,Delivery Delay
2026-03-23,JD090431324IN,JD,Bulk Speed Post (J),Speed Post,Parcel stuck for several days,Delivery Delay
2026-03-23,JG568457407IN,JG,Bulk Speed Post (J),Speed Post,Speed post not delivered after complaints,Delivery Delay
2026-03-23,CT304840180IN,CT,COD (C),COD Parcel,Tracking not updated since dispatch,Tracking Issue
2026-03-23,EF447374885IN,EF,Speed Post (E),Speed Post,Marked addressee absent without attempt,Fake Delivery Attempt
2026-03-23,EH229880880IN,EH,Speed Post (E),Speed Post,Repeated out for delivery but not delivered,Delivery Delay
